URL_SUCCESS,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/,213565,325,text/html
https://www.nytimes.com/video/opinion,256881,71,text/html
https://www.nytimes.com/video/opinion/100000004796365/win-a-trip.html?playlistId=1194811622299,322412,106,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/trapped-in-trumps-brain.html,80934,110,text/html
https://www.nytimes.com/2017/02/19/world/europe/in-the-land-of-opera-a-choir-for-the-tone-deaf.html,82964,96,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/our-putin.html,80856,108,text/html
https://www.nytimes.com/section/jobs,115572,124,text/html
https://www.nytimes.com/2017/02/18/technology/farhads-and-mikes-week-in-tech-a-letter-from-zuckerberg-and-the-fall-of-pewdiepie.html,90668,117,text/html
https://www.nytimes.com/interactive/2017/02/18/opinion/a-syrian-family-safe-in-america-now-what.html,41190,26,text/html
https://www.nytimes.com/content/help/rights/copyright/copyright-notice.html,10341,26,text/html
https://www.nytimes.com/2017/02/19/fashion/london-fashion-week-casa-cruz-restaurant.html,71355,102,text/html
https://www.nytimes.com/2017/02/17/upshot/to-fund-health-plan-gop-considers-limiting-popular-tax-break.html,89381,121,text/html
https://www.nytimes.com/2017/02/18/us/california-storms.html,79318,109,text/html
https://www.nytimes.com/2017/02/17/business/samsung-heir-arrested-south-korea.html,86127,109,text/html
https://www.nytimes.com/services/xml/rss/index.html,92608,177,text/html
http://www.nytimes.com/pages/automobiles/index.html,298919,439,text/html
https://www.nytimes.com/2017/02/19/us/michael-novak-dead-catholic-scholar.html,77873,107,text/html
https://www.nytimes.com/2017/02/14/books/review/dark-flood-rises-margaret-drabble-.html,77107,95,text/html
https://www.nytimes.com/2017/02/17/nyregion/new-york-math-camp.html,132002,135,text/html
https://www.nytimes.com/2017/02/16/travel/scuba-diving-in-eritrea.html,102713,116,text/html
https://www.nytimes.com/2017/02/16/arts/television/big-little-lies-nicole-kidman-reese-witherspoon.html,80503,110,text/html
