URL,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/,209215,317,text/html
https://www.nytimes.com/2017/02/19/us/donald-trump-visits-mar-a-lago-businesses.html,97273,122,text/html
https://www.nytimes.com/section/insider,147088,156,text/html
https://www.nytimes.com/2017/02/17/books/review/autumn-ali-smith.html,75445,95,text/html
https://www.nytimes.com/2017/02/17/science/santiago-ramon-y-cajal-beautiful-brain.html,78167,112,text/html
https://www.nytimes.com/section/us,137450,143,text/html
https://www.nytimes.com/2017/02/13/insider/why-do-americans-refrigerate-their-eggs.html?_r=0,80997,102,text/html
https://www.nytimes.com/2017/02/17/business/condoms-nontoxic-vegan-.html,91673,116,text/html
https://www.nytimes.com/2017/02/17/upshot/to-fund-health-plan-gop-considers-limiting-popular-tax-break.html,89433,122,text/html
https://www.nytimes.com/2017/02/20/opinion/why-the-world-needs-a-trump-doctrine.html,74126,98,text/html
https://www.nytimes.com/2017/02/20/science/hubble-constant-universe-expanding-speed.html,100794,132,text/html
https://www.nytimes.com/2017/01/01/us/trump-mar-a-lago-future-winter-white-house.html,83863,105,text/html
https://www.nytimes.com/2017/02/19/us/politics/betsy-devos-education.html,82237,116,text/html
https://www.nytimes.com/content/help/rights/privacy/policy/privacy-policy.html,37426,49,text/html
https://www.nytimes.com/2017/02/13/us/politics/donald-trump-administration.html,102495,114,text/html
http://www.nytimes.com/recommendations,34439,68,text/html
https://www.nytimes.com/2017/02/20/sports/soccer/mike-piazza-italy-reggiana-owner.html,101495,116,text/html
https://www.nytimes.com/2017/02/18/arts/television/golden-girls-cafe-opens-in-washington-heights.html,83845,100,text/html
https://www.nytimes.com/2017/02/20/technology/whatsapp-status-facebook-snapchat.html,84885,114,text/html
https://www.nytimes.com/2017/02/20/us/politics/mcmaster-national-security-adviser-trump.html,86663,111,text/html
https://www.nytimes.com/2017/02/20/opinion/dysfunction-and-deadlock-at-the-federal-election-commission.html,72835,104,text/html
https://www.nytimes.com/2017/02/20/health/marijuana-pregnancy-mothers.html,97216,113,text/html
http://www.nytimes.com/pages/automobiles/index.html,295343,440,text/html
https://www.nytimes.com/2017/02/20/world/europe/pence-european-union-trump.html,91044,118,text/html
https://www.nytimes.com/2017/02/20/upshot/wearable-fitness-devices-dont-seem-to-make-you-more-fit.html,83587,122,text/html
https://www.nytimes.com/content/help/rights/copyright/copyright-notice.html,10341,26,text/html
https://www.nytimes.com/2017/02/20/sports/basketball/the-pelicans-stole-demarcus-cousins-and-might-shake-up-the-west.html,76319,101,text/html
https://www.nytimes.com/2017/02/15/insider/looking-for-a-good-laugh-the-times-introduces-a-new-column.html,72003,96,text/html
https://www.nytimes.com/by/frances-robles,115899,123,text/html
https://www.nytimes.com/2017/02/09/books/review/lincoln-in-the-bardo-george-saunders.html,78354,93,text/html
https://www.nytimes.com/2017/02/20/t-magazine/protest-art-betty-tompkins-postcommodity-rirkrit-tiravanija.html,75487,93,text/html
https://www.nytimes.com/section/books/review,151751,167,text/html
https://www.nytimes.com/2017/02/20/t-magazine/topshop-unique-beauty-london-fashion-week.html,65974,95,text/html
https://www.nytimes.com/2017/02/20/world/europe/donald-trump-ukraine-russia.html,71943,101,text/html
https://www.nytimes.com/2017/02/09/insider/good-bad-and-mad-andrew-rosenthal-on-the-news.html,70501,94,text/html
https://www.nytimes.com/2017/02/14/insider/what-were-reading.html,76633,114,text/html
https://www.nytimes.com/2016/11/23/us/politics/trumps-palm-beach-neighbors-shrug-and-say-theyve-seen-it-before.html,88241,108,text/html
http://www.nytimes.com/crosswords/index.html,25128,33,text/html
https://www.nytimes.com/2017/02/20/arts/design/jackson-mississippi-architects-duvall-decker.html,79702,105,text/html
https://www.nytimes.com/2017/02/20/us/politics/gorsuch-like-previous-supreme-court-nominees-keeps-views-hidden.html,85578,109,text/html
https://www.nytimes.com/interactive/2017/02/20/books/document-Whitman-Chapter-One.html,26205,25,text/html
https://www.nytimes.com/2017/02/20/world/europe/britain-trump-state-visit.html,76134,101,text/html
https://www.nytimes.com/2017/02/10/insider/arent-we-off-sugar-now-not-quite-welcome-yotam-ottolenghi.html,69002,101,text/html
http://www.nytimes.com/2000/02/13/nyregion/if-it-s-air-force-one-it-must-be-sit-and-wait.html,72426,89,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/in-praise-of-hypocrisy.html,80894,110,text/html
https://www.nytimes.com/2017/02/09/insider/1941-on-a-day-of-infamy-the-times-is-on-the-air.html,77016,110,text/html
https://www.nytimes.com/2017/02/16/dining/cafe-lily-review-bensonhurst-korean-uzbek.html,189977,100,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/are-liberals-helping-trump.html,77262,101,text/html
https://www.nytimes.com/2017/02/16/dining/wine-review-pinot-noir-sonoma-coast.html,88144,115,text/html
https://www.nytimes.com/2017/02/20/opinion/how-donald-trump-might-save-the-eu.html,80351,111,text/html
https://www.nytimes.com/2017/02/14/insider/the-youngest-crossword-constructor-in-new-york-times-history.html,74737,98,text/html
https://www.nytimes.com/2017/02/20/us/politics/mcmaster-national-security-adviser-trump.html?rref=collection%2Fnewseventcollection%2FThe%20Trump%20White%20House,86663,112,text/html
https://www.nytimes.com/2017/02/20/arts/music/herbert-blomstedt-is-turning-90-he-is-also-conducting-over-90-concerts-this-year.html,73048,98,text/html
https://www.nytimes.com/2017/02/06/insider/harry-belafonte-inside-dish.html,71944,98,text/html
https://www.nytimes.com/2017/02/19/your-money/where-the-worlds-wealthiest-invest-their-billions.html,96143,108,text/html
https://www.nytimes.com/2017/02/17/arts/inside-the-brutal-world-of-comedy-open-mikes.html,85976,104,text/html
https://www.nytimes.com/2017/02/20/us/the-road-or-flight-from-detention-to-deportation.html,81109,98,text/html
http://www.nytimes.com/subscriptions/Multiproduct/lp5558.html?campaignId=37WXW,27180,31,text/html
https://www.nytimes.com/section/science,149380,156,text/html
https://www.nytimes.com/pages/politics/index.html,119806,112,text/html
https://www.nytimes.com/2017/02/03/insider/what-were-reading.html,75966,113,text/html
https://www.nytimes.com/2017/02/20/world/europe/trump-pursues-his-attack-on-sweden-with-scant-evidence.html?rref=collection%2Fnewseventcollection%2FThe%20Trump%20White%20House,92561,128,text/html
https://www.nytimes.com/2017/02/08/insider/a-good-meal-is-hard-to-find-at-least-on-new-yorks-upper-west-side.html,75663,100,text/html
https://www.nytimes.com/2017/02/19/arts/music/junie-morrison-a-funk-mastermind-dies-at-62.html,79757,115,text/html
https://www.nytimes.com/2017/02/15/theater/grease-in-a-nairobi-high-school-saheem-ali-on-his-first-time-directing.html,81803,105,text/html
https://www.nytimes.com/2017/02/19/science/spacex-launch-kennedy-space-center.html,84636,111,text/html
http://www.nytimes.com/newsletters/morning-briefing,21463,27,text/html
https://www.nytimes.com/2017/02/16/theater/the-skin-of-our-teeth-thornton-wilder-trump.html,82203,107,text/html
https://www.nytimes.com/2017/02/17/realestate/multimillion-dollar-manhattan-panoramas.html,200745,117,text/html
https://www.nytimes.com/2017/02/19/books/philip-roth-plot-against-america.html,77792,101,text/html
https://www.nytimes.com/2017/02/17/dining/sheet-pan-dinner-pasta-bake-broccoli.html,80318,102,text/html
